rusher_player_name,rusher_player_id,total_ryoe,rush_attempts
L.Jackson,00-0034796,1.73388149285714,161
D.Henry,00-0032764,1.51529431098093,367
J.Gibbs,00-0039139,1.25573929325758,264
S.Barkley,00-0034844,1.22675746712984,439
J.Daniels,00-0039910,1.16123077695652,184
J.Ford,00-0037267,0.902604771346154,104
B.Irving,00-0039361,0.846929714553572,224
J.Mason,00-0037525,0.696150574705883,153
J.Allen,00-0034857,0.582071697938931,131
J.Cook,00-0037248,0.461473539769231,260
Em.Wilson,00-0038797,0.364248593396227,106
T.Allgeier,00-0037263,0.324762604782609,138
C.Hubbard,00-0036555,0.321566885378486,251
B.Robinson,00-0038542,0.318442212295082,305
J.Taylor,00-0036223,0.241887181016394,305
T.Bigsby,00-0038555,0.148002676190476,168
J.Conner,00-0033553,0.122110713598327,239
J.Hurts,00-0036389,0.089543445187166,187
J.Dobbins,00-0036158,0.0770954615686277,204
R.Dowdle,00-0036139,0.0638896852340427,235
D.Achane,00-0039040,-0.006277497192118,203
A.Gibson,00-0036328,-0.0464314164999998,120
J.Jacobs,00-0035700,-0.0596994673831774,321
A.Jones,00-0033293,-0.0672988683582087,268
T.Tracy,00-0039384,-0.1368938475,192
C.Brown,00-0038597,-0.156468958695652,230
C.Akers,00-0036414,-0.172843341009174,109
R.White,00-0037256,-0.222535372206896,145
J.McLaughlin,00-0038794,-0.227498960956522,115
D.Montgomery,00-0035685,-0.238304485647668,193
B.Robinson,00-0037746,-0.242814670986547,223
Z.Charbonnet,00-0039165,-0.258184340222222,135
K.Williams,00-0037840,-0.288343418376068,351
J.Warren,00-0037228,-0.307761279016393,122
J.Mixon,00-0033897,-0.335393125931034,290
A.Kamara,00-0033906,-0.342503454210526,228
B.Hall,00-0038120,-0.375832533207547,212
T.Pollard,00-0035261,-0.410563034367816,261
R.Davis,00-0039875,-0.539088023333333,120
N.Harris,00-0036893,-0.557721920855018,269
D.Singletary,00-0035250,-0.60986034699115,113
R.Stevenson,00-0036875,-0.639476872222222,207
D.Swift,00-0036275,-0.710345893952569,253
K.Hunt,00-0033923,-0.724626624912281,228
J.Williams,00-0036997,-0.775028246438356,146
K.Walker,00-0038134,-0.788019576405229,153
T.Etienne,00-0036973,-0.815010030666666,150
G.Edwards,00-0034184,-0.897662516238532,109
N.Chubb,00-0034791,-1.18482908627451,102
A.Mattison,00-0034972,-1.43642414641791,134
