ydstogo,avg_yards_gained
0.0,1.0
1.0,2.78358881875564
10.0,4.73619732113688
11.0,2.95
12.0,3.23287671232877
13.0,4.73239436619718
14.0,6.57142857142857
15.0,4.97122302158273
16.0,4.96153846153846
17.0,6.40740740740741
18.0,6.5
19.0,5.84615384615385
2.0,4.00357142857143
20.0,6.04477611940298
21.0,9.88888888888889
22.0,5.625
23.0,12.5555555555556
24.0,9.6
25.0,6.88888888888889
26.0,6.0
27.0,5.0
28.0,13.0
29.0,6.33333333333333
3.0,4.11777301927195
30.0,3.0
33.0,10.0
34.0,8.0
36.0,9.0
4.0,3.88479262672811
5.0,5.03992015968064
6.0,4.50473933649289
7.0,5.18577981651376
8.0,4.46130952380952
9.0,4.77474402730375
